amplitude,n,type,MSE,MAPE
0.02,59,classical,inf,inf
0.02,60,abstract,0.15083622664788973,44.29278048313905
0.02,60,classical,inf,inf
0.02,61,abstract,0.15060392865572386,44.296076035290376
0.02,61,classical,inf,inf
0.02,62,abstract,0.15054009045802455,44.271962863977336
0.02,62,classical,inf,inf
0.02,63,abstract,0.15006141553260616,44.27868410823907
0.02,63,classical,inf,inf
0.02,64,abstract,0.14981601556643626,44.24898415022856
0.02,64,classical,inf,inf
0.02,65,abstract,0.15041553876491823,44.27223497680386
0.02,65,classical,inf,inf
0.02,66,abstract,0.1503870380008738,44.262242296192376
0.02,66,classical,inf,inf
0.02,67,abstract,0.1504934532906043,44.24113574342854
0.02,67,classical,inf,inf
0.02,68,abstract,0.15098947819119737,44.26339506265826
0.02,68,classical,inf,inf
0.02,69,abstract,0.1504450036589808,44.25686832088242
0.02,69,classical,inf,inf
0.02,70,abstract,0.1508777523494658,44.253121471929774
0.02,70,classical,inf,inf
0.02,71,abstract,0.15048780168697995,44.261576121005994
0.02,71,classical,inf,inf
0.02,72,abstract,0.15072730771566734,44.25864307540164
0.02,72,classical,inf,inf
0.02,73,abstract,0.15083942871654618,44.27089706952875
0.02,73,classical,inf,inf
0.02,74,abstract,0.1504853361287961,44.27877288852734
0.02,74,classical,inf,inf
0.02,75,abstract,0.15050316279900883,44.26511045877149
0.02,75,classical,inf,inf
0.02,76,abstract,0.15011171922147665,44.25789174724047
0.02,76,classical,inf,inf
0.02,77,abstract,0.15024880641241653,44.25396149662382
0.02,77,classical,inf,inf
0.02,78,abstract,0.15042243491908466,44.2821806495062
0.02,78,classical,inf,inf
0.02,79,abstract,0.15064906803241956,44.263182143475944
0.02,79,classical,inf,inf
0.02,80,abstract,0.1502837578445972,44.27871013146152
0.02,80,classical,inf,inf
0.02,81,abstract,0.15054237648226773,44.26828813986419
0.02,81,classical,inf,inf
0.02,82,abstract,0.15021782238910497,44.28737709164038
0.02,82,classical,inf,inf
0.02,83,abstract,0.14978016676919662,44.25999839567772
0.02,83,classical,inf,inf
0.02,84,abstract,0.15035433009166804,44.26504139672598
0.02,84,classical,inf,inf
0.02,85,abstract,0.149804433733526,44.24465568011189
0.02,85,classical,inf,inf
0.02,86,abstract,0.15089913255219387,44.24758861106681
0.02,86,classical,inf,inf
0.02,87,abstract,0.15043290719535962,44.26576226133652
0.02,87,classical,inf,inf
0.02,88,abstract,0.150414658762832,44.258029183452685
0.02,88,classical,inf,inf
0.02,89,abstract,0.15131820641487576,44.270920144995465
0.02,89,classical,inf,inf
0.02,90,abstract,0.15041123826173494,44.26460739688699
0.02,90,classical,inf,inf
0.02,91,abstract,0.15032115495048806,44.24672700401121
0.02,91,classical,inf,inf
0.02,92,abstract,0.15043257426783785,44.26083979745766
0.02,92,classical,inf,inf
0.02,93,abstract,0.1502171996392823,44.28571431608201
0.02,93,classical,inf,inf
0.02,94,abstract,0.15051609087854578,44.28163718089435
0.02,94,classical,inf,inf
0.02,95,abstract,0.15027291619722066,44.26780773832352
0.02,95,classical,inf,inf
0.02,96,abstract,0.1507208512498584,44.28625799005139
0.02,96,classical,inf,inf
0.02,97,abstract,0.14998959561291447,44.27265107045976
0.02,97,classical,inf,inf
0.02,98,abstract,0.15006629130652782,44.296483139775894
0.02,98,classical,inf,inf
0.02,99,abstract,0.15005046089668844,44.29007210130085
0.02,99,classical,inf,inf
0.03,0,abstract,0.15661760078991366,44.3944610394069
0.03,0,classical,inf,inf
0.03,1,abstract,0.1575338882638735,44.43464644093807
0.03,1,classical,inf,inf
0.03,2,abstract,0.1571839030138978,44.4896367795165
0.03,2,classical,inf,inf
0.03,3,abstract,0.1571005971441111,44.446106371429636
0.03,3,classical,inf,inf
0.03,4,abstract,0.1568165088098969,44.416392246666454
0.03,4,classical,inf,inf
0.03,5,abstract,0.15684640531932634,44.49250408706204
0.03,5,classical,inf,inf
0.03,6,abstract,0.1565230200460032,44.474675153982005
0.03,6,classical,inf,inf
0.03,7,abstract,0.1569224557932378,44.395453089392014
0.03,7,classical,inf,inf
0.03,8,abstract,0.1572695785061681,44.43904309298606
0.03,8,classical,inf,inf
0.03,9,abstract,0.1577945462884887,44.464310339174105
0.03,9,classical,inf,inf
0.03,10,abstract,0.15684295030494894,44.39214707527649
0.03,10,classical,inf,inf
0.03,11,abstract,0.1568810031663539,44.40275231018967
0.03,11,classical,inf,inf
0.03,12,abstract,0.15794350416015981,44.45719125131138
0.03,12,classical,inf,inf
0.03,13,abstract,0.1568980656275268,44.43094134448729
0.03,13,classical,inf,inf
0.03,14,abstract,0.15637472887403878,44.373696000568266
0.03,14,classical,inf,inf
0.03,15,abstract,0.1559646335156306,44.432063988747174
0.03,15,classical,inf,inf
0.03,16,abstract,0.15633886067781352,44.43824838388852
0.03,16,classical,inf,inf
0.03,17,abstract,0.1571138768931437,44.406477259966685
0.03,17,classical,inf,inf
0.03,18,abstract,0.15663556245489982,44.504637517798294
0.03,18,classical,inf,inf
0.03,19,abstract,0.1571700989383899,44.46092264949912
0.03,19,classical,inf,inf
0.03,20,abstract,0.15665288973284852,44.42089767561516
0.03,20,classical,inf,inf
0.03,21,abstract,0.1560732740438732,44.463520571488644
0.03,21,classical,inf,inf
0.03,22,abstract,0.15766075129028248,44.48052417434709
0.03,22,classical,inf,inf
0.03,23,abstract,0.15770318139590297,44.4470616272165
0.03,23,classical,inf,inf
0.03,24,abstract,0.1562451106026419,44.3498553338346
0.03,24,classical,inf,inf
0.03,25,abstract,0.1567128429358332,44.35765778095983
0.03,25,classical,inf,inf
0.03,26,abstract,0.1568295441100332,44.41934547151155
0.03,26,classical,inf,inf
0.03,27,abstract,0.1575756490075334,44.44745616208672
0.03,27,classical,inf,inf
0.03,28,abstract,0.15724336855534257,44.46071466820199
0.03,28,classical,inf,inf
0.03,29,abstract,0.1565770952810613,44.38376026965814
0.03,29,classical,inf,inf
0.03,30,abstract,0.15652352381722096,44.428951792020456
0.03,30,classical,inf,inf
0.03,31,abstract,0.15578695463024445,44.42597735156255
0.03,31,classical,inf,inf
0.03,32,abstract,0.15747784456027114,44.43841010040175
0.03,32,classical,inf,inf
0.03,33,abstract,0.15713815775923914,44.43548750021221
0.03,33,classical,inf,inf
0.03,34,abstract,0.15719938345577228,44.41093013570532
0.03,34,classical,inf,inf
0.03,35,abstract,0.1571940166929552,44.45986734367888
0.03,35,classical,inf,inf
0.03,36,abstract,0.1574861924188124,44.426751525449795
0.03,36,classical,inf,inf
0.03,37,abstract,0.15707289036399164,44.46215173096387
0.03,37,classical,inf,inf
0.03,38,abstract,0.15665633324302758,44.36148493536784
0.03,38,classical,inf,inf
0.03,39,abstract,0.15725744485609988,44.408135943323515
0.03,39,classical,inf,inf
0.03,40,abstract,0.15756365124246122,44.46166122552274
0.03,40,classical,inf,inf
0.03,41,abstract,0.15701569238740049,44.39622321681856
0.03,41,classical,inf,inf
0.03,42,abstract,0.15646432413774913,44.42321651065633
0.03,42,classical,inf,inf
0.03,43,abstract,0.15757984933684802,44.44648296007699
0.03,43,classical,inf,inf
0.03,44,abstract,0.15656077132000937,44.51920470885803
0.03,44,classical,inf,inf
0.03,45,abstract,0.15767756214328726,44.42335905350918
0.03,45,classical,inf,inf
0.03,46,abstract,0.15671916619100282,44.396697744791766
0.03,46,classical,inf,inf
0.03,47,abstract,0.15760159481265532,44.478060993418815
0.03,47,classical,inf,inf
0.03,48,abstract,0.15616210442344752,44.40647636462806
0.03,48,classical,inf,inf
0.03,49,abstract,0.15688242484708426,44.38546898810241
0.03,49,classical,inf,inf
